from_id,to_id,relationship_type,theme
215,362,HAS_PHRASE,commercial_communication
85,363,HAS_THEME_PHRASE,commercial_communication
215,363,HAS_PHRASE,commercial_communication
86,364,HAS_THEME_PHRASE,commercial_communication
215,364,HAS_PHRASE,commercial_communication
87,365,HAS_THEME_PHRASE,commercial_communication
215,365,HAS_PHRASE,commercial_communication
69,366,HAS_THEME_PHRASE,professional_standards
216,366,HAS_PHRASE,professional_standards
70,367,HAS_THEME_PHRASE,professional_standards
216,367,HAS_PHRASE,professional_standards
71,368,HAS_THEME_PHRASE,professional_standards
216,368,HAS_PHRASE,professional_standards
72,369,HAS_THEME_PHRASE,professional_standards
216,369,HAS_PHRASE,professional_standards
64,370,HAS_THEME_PHRASE,professional_standards
216,370,HAS_PHRASE,professional_standards
58,371,HAS_THEME_PHRASE,material_information
217,371,HAS_PHRASE,material_information
59,372,HAS_THEME_PHRASE,material_information
217,372,HAS_PHRASE,material_information
64,373,HAS_THEME_PHRASE,material_information
217,373,HAS_PHRASE,material_information
76,374,HAS_THEME_PHRASE,material_information
217,374,HAS_PHRASE,material_information
21,375,HAS_THEME_PHRASE,endorsements_marketing
218,375,HAS_PHRASE,endorsements_marketing
22,376,HAS_THEME_PHRASE,endorsements_marketing
218,376,HAS_PHRASE,endorsements_marketing
86,377,HAS_THEME_PHRASE,endorsements_marketing
218,377,HAS_PHRASE,endorsements_marketing
87,378,HAS_THEME_PHRASE,endorsements_marketing
218,378,HAS_PHRASE,endorsements_marketing
33,379,HAS_THEME_PHRASE,product_claims
219,379,HAS_PHRASE,product_claims
34,380,HAS_THEME_PHRASE,product_claims
219,380,HAS_PHRASE,product_claims
35,381,HAS_THEME_PHRASE,product_claims
219,381,HAS_PHRASE,product_claims
40,382,HAS_THEME_PHRASE,product_claims
219,382,HAS_PHRASE,product_claims
51,383,HAS_THEME_PHRASE,information_disclosure
220,383,HAS_PHRASE,information_disclosure
60,384,HAS_THEME_PHRASE,information_disclosure
220,384,HAS_PHRASE,information_disclosure
62,385,HAS_THEME_PHRASE,information_disclosure
220,385,HAS_PHRASE,information_disclosure
75,386,HAS_THEME_PHRASE,information_disclosure
220,386,HAS_PHRASE,information_disclosure
78,387,HAS_THEME_PHRASE,information_disclosure
220,387,HAS_PHRASE,information_disclosure
79,388,HAS_THEME_PHRASE,information_disclosure
220,388,HAS_PHRASE,information_disclosure
81,389,HAS_THEME_PHRASE,information_disclosure
220,389,HAS_PHRASE,information_disclosure
17,390,HAS_THEME_PHRASE,unfair_practices
221,390,HAS_PHRASE,unfair_practices
62,391,HAS_THEME_PHRASE,unfair_practices
221,391,HAS_PHRASE,unfair_practices
75,392,HAS_THEME_PHRASE,unfair_practices
221,392,HAS_PHRASE,unfair_practices
93,393,HAS_THEME_PHRASE,unfair_practices
221,393,HAS_PHRASE,unfair_practices
101,394,HAS_THEME_PHRASE,unfair_practices
221,394,HAS_PHRASE,unfair_practices
112,395,HAS_THEME_PHRASE,unfair_practices
221,395,HAS_PHRASE,unfair_practices
115,396,HAS_THEME_PHRASE,unfair_practices
221,396,HAS_PHRASE,unfair_practices
36,397,HAS_THEME_PHRASE,origin_claims
222,397,HAS_PHRASE,origin_claims
37,398,HAS_THEME_PHRASE,origin_claims
222,398,HAS_PHRASE,origin_claims
38,399,HAS_THEME_PHRASE,origin_claims
222,399,HAS_PHRASE,origin_claims
39,400,HAS_THEME_PHRASE,origin_claims
222,400,HAS_PHRASE,origin_claims
40,401,HAS_THEME_PHRASE,puffery_superlatives
223,401,HAS_PHRASE,puffery_superlatives
41,402,HAS_THEME_PHRASE,puffery_superlatives
223,402,HAS_PHRASE,puffery_superlatives
55,403,HAS_THEME_PHRASE,average_consumer
224,403,HAS_PHRASE,average_consumer
56,404,HAS_THEME_PHRASE,average_consumer
224,404,HAS_PHRASE,average_consumer
57,405,HAS_THEME_PHRASE,average_consumer
224,405,HAS_PHRASE,average_consumer
88,406,HAS_THEME_PHRASE,average_consumer
224,406,HAS_PHRASE,average_consumer
89,407,HAS_THEME_PHRASE,average_consumer
224,407,HAS_PHRASE,average_consumer
90,408,HAS_THEME_PHRASE,average_consumer
224,408,HAS_PHRASE,average_consumer
91,409,HAS_THEME_PHRASE,average_consumer
224,409,HAS_PHRASE,average_consumer
92,410,HAS_THEME_PHRASE,average_consumer
224,410,HAS_PHRASE,average_consumer
63,411,HAS_THEME_PHRASE,invitations_to_purchase
225,411,HAS_PHRASE,invitations_to_purchase
64,412,HAS_THEME_PHRASE,invitations_to_purchase
225,412,HAS_PHRASE,invitations_to_purchase
65,413,HAS_THEME_PHRASE,invitations_to_purchase
225,413,HAS_PHRASE,invitations_to_purchase
66,414,HAS_THEME_PHRASE,invitations_to_purchase
225,414,HAS_PHRASE,invitations_to_purchase
67,415,HAS_THEME_PHRASE,invitations_to_purchase
225,415,HAS_PHRASE,invitations_to_purchase
68,416,HAS_THEME_PHRASE,invitations_to_purchase
225,416,HAS_PHRASE,invitations_to_purchase
11,417,HAS_THEME_PHRASE,foundational_definitions
226,417,HAS_PHRASE,foundational_definitions
12,418,HAS_THEME_PHRASE,foundational_definitions
226,418,HAS_PHRASE,foundational_definitions
13,419,HAS_THEME_PHRASE,foundational_definitions
226,419,HAS_PHRASE,foundational_definitions
14,420,HAS_THEME_PHRASE,foundational_definitions
226,420,HAS_PHRASE,foundational_definitions
15,421,HAS_THEME_PHRASE,foundational_definitions
226,421,HAS_PHRASE,foundational_definitions
16,422,HAS_THEME_PHRASE,foundational_definitions
226,422,HAS_PHRASE,foundational_definitions
17,423,HAS_THEME_PHRASE,foundational_definitions
226,423,HAS_PHRASE,foundational_definitions
18,424,HAS_THEME_PHRASE,foundational_definitions
226,424,HAS_PHRASE,foundational_definitions
42,425,HAS_THEME_PHRASE,foundational_definitions
226,425,HAS_PHRASE,foundational_definitions
45,426,HAS_THEME_PHRASE,foundational_definitions
226,426,HAS_PHRASE,foundational_definitions
46,427,HAS_THEME_PHRASE,foundational_definitions
226,427,HAS_PHRASE,foundational_definitions
47,428,HAS_THEME_PHRASE,foundational_definitions
226,428,HAS_PHRASE,foundational_definitions
48,429,HAS_THEME_PHRASE,foundational_definitions
226,429,HAS_PHRASE,foundational_definitions
49,430,HAS_THEME_PHRASE,foundational_definitions
226,430,HAS_PHRASE,foundational_definitions
58,431,HAS_THEME_PHRASE,foundational_definitions
226,431,HAS_PHRASE,foundational_definitions
59,432,HAS_THEME_PHRASE,foundational_definitions
226,432,HAS_PHRASE,foundational_definitions
60,433,HAS_THEME_PHRASE,foundational_definitions
226,433,HAS_PHRASE,foundational_definitions
69,434,HAS_THEME_PHRASE,foundational_definitions
226,434,HAS_PHRASE,foundational_definitions
70,435,HAS_THEME_PHRASE,foundational_definitions
226,435,HAS_PHRASE,foundational_definitions
71,436,HAS_THEME_PHRASE,foundational_definitions
226,436,HAS_PHRASE,foundational_definitions
72,437,HAS_THEME_PHRASE,foundational_definitions
226,437,HAS_PHRASE,foundational_definitions
73,438,HAS_THEME_PHRASE,foundational_definitions
226,438,HAS_PHRASE,foundational_definitions
74,439,HAS_THEME_PHRASE,foundational_definitions
226,439,HAS_PHRASE,foundational_definitions
75,440,HAS_THEME_PHRASE,foundational_definitions
226,440,HAS_PHRASE,foundational_definitions
77,441,HAS_THEME_PHRASE,foundational_definitions
226,441,HAS_PHRASE,foundational_definitions
78,442,HAS_THEME_PHRASE,foundational_definitions
226,442,HAS_PHRASE,foundational_definitions
79,443,HAS_THEME_PHRASE,foundational_definitions
226,443,HAS_PHRASE,foundational_definitions
80,444,HAS_THEME_PHRASE,foundational_definitions
226,444,HAS_PHRASE,foundational_definitions
84,445,HAS_THEME_PHRASE,foundational_definitions
226,445,HAS_PHRASE,foundational_definitions
85,446,HAS_THEME_PHRASE,foundational_definitions
226,446,HAS_PHRASE,foundational_definitions
86,447,HAS_THEME_PHRASE,foundational_definitions
226,447,HAS_PHRASE,foundational_definitions
87,448,HAS_THEME_PHRASE,foundational_definitions
226,448,HAS_PHRASE,foundational_definitions
122,449,HAS_THEME_PHRASE,foundational_definitions
226,449,HAS_PHRASE,foundational_definitions
125,450,HAS_THEME_PHRASE,foundational_definitions
226,450,HAS_PHRASE,foundational_definitions
126,451,HAS_THEME_PHRASE,foundational_definitions
226,451,HAS_PHRASE,foundational_definitions
127,452,HAS_THEME_PHRASE,foundational_definitions
226,452,HAS_PHRASE,foundational_definitions
128,453,HAS_THEME_PHRASE,foundational_definitions
226,453,HAS_PHRASE,foundational_definitions
129,454,HAS_THEME_PHRASE,foundational_definitions
226,454,HAS_PHRASE,foundational_definitions
130,455,HAS_THEME_PHRASE,foundational_definitions
226,455,HAS_PHRASE,foundational_definitions
